MEMBER_NO,FFP_TIER,GENDER,age,ZL,ZR,ZF,ZM,ZC,K
2,4,ÄÐ,52,1.690000239,-0.322447746,0.852453133,0.84384813,-0.574749996,B
31,4,ÄÐ,32,0.133032426,-0.812735195,-0.494050564,-0.490990749,-0.152586386,B
35,4,ÄÐ,48,0.109442004,-0.900876759,2.411562678,2.356241195,-0.414014613,B
37,4,ÄÐ,44,0.101185357,-0.388553919,-0.210576101,-0.1090925,-0.075501429,B
38,4,ÄÐ,33,0.101185357,-0.884350216,0.710715902,1.00743738,-0.125262072,B
41,4,Å®,37,0.076415414,-0.829261738,0.568978671,0.232383434,0.218199069,B
44,5,ÄÐ,43,1.417530872,-0.933929845,5.033701458,3.721289936,0.599431805,B
61,4,ÄÐ,30,-0.113487478,-0.939438693,1.206796212,0.978842511,-0.243854266,B
70,4,ÄÐ,51,-0.179540658,-0.812735195,1.06505898,0.385190233,0.403729215,B
71,5,ÄÐ,59,-0.186617784,-0.933929845,5.104570073,2.966185899,0.682659087,B
74,4,ÄÐ,40,-0.2043106,0.542441349,-0.494050564,-0.436081001,-1.165073653,B
85,4,ÄÐ,32,-0.30339037,-0.911894454,1.702876521,1.303361023,0.03850026,B
100,5,Å®,31,-0.305749413,-0.823752891,3.68719776,4.555101113,-0.193663343,B
101,4,ÄÐ,41,-0.305749413,-0.917403302,-0.06883887,-0.079262637,-1.087038921,B
135,4,ÄÐ,34,-0.328160313,-0.074549598,-0.06883887,0.085419108,-1.638447808,B
148,4,ÄÐ,41,-0.33641696,0.063171595,-0.494050564,-0.524050598,-0.776383466,B
164,4,ÄÐ,28,-0.669041902,-0.713575936,-0.494050564,-0.553595462,-0.785025293,B
166,4,ÄÐ,37,-0.372982114,-0.917403302,0.072898361,0.04133931,-1.584449686,B
169,4,ÄÐ,67,-0.362366424,-0.911894454,0.568978671,0.430885024,-0.778563626,B
179,4,Å®,36,1.245320795,-0.58136359,-0.281444717,-0.426058547,0.307237876,B
181,4,ÄÐ,35,-0.372982114,-0.559328199,-0.210576101,-0.03936282,-0.335614909,B
201,4,ÄÐ,35,-0.372982114,0.074189291,-0.494050564,-0.568652893,0.096754326,B
208,4,ÄÐ,40,-0.372982114,-0.746629022,0.639847286,0.501279701,0.797282158,B
214,4,ÄÐ,37,-0.374161635,0.922551843,-0.494050564,-0.584232822,-1.397320645,B
222,4,ÄÐ,34,-0.385956845,0.22292818,-0.494050564,-0.532838057,-0.147300356,B
259,4,ÄÐ,41,-0.552269316,-0.840279434,0.356372824,0.339922941,-0.149786273,B
265,4,ÄÐ,46,-0.581757343,-0.719084784,-0.139707486,-0.225324467,0.522312098,B
268,4,ÄÐ,37,-0.607706807,-0.719084784,0.072898361,0.38804022,-0.905606939,B
271,4,Å®,47,-0.607706807,-0.399571615,-0.139707486,0.036161834,-0.068907821,B
295,4,Å®,29,-0.652528607,-0.944947541,1.206796212,1.633057011,-0.116026407,B
307,4,ÄÐ,43,-0.707966098,-0.327956594,-0.06883887,-0.202049574,-0.991636553,B
311,4,Å®,28,-0.740992688,-0.680522849,3.120248835,2.175884522,-0.361158953,B
331,4,Å®,28,-0.817661557,-0.680522849,-0.281444717,-0.206182055,0.092580245,B
346,4,Å®,47,-0.858944795,0.388193612,-0.494050564,-0.418221083,-0.773992463,B
366,4,ÄÐ,32,-0.922638932,-0.691540545,0.498110055,0.650001519,-0.489547469,B
372,4,ÄÐ,43,-0.939152227,-0.862314825,-0.494050564,0.088174095,-0.463417394,B
374,4,ÄÐ,47,-0.851867668,-0.8017175,0.781584518,0.389275214,0.656800928,B
379,4,ÄÐ,33,-0.96392217,-0.013952273,0.639847286,0.598939253,-0.291536939,B
410,4,ÄÐ,36,-1.039411518,-0.807226347,-0.210576101,0.413975101,0.210627553,B
426,4,ÄÐ,41,-1.087771882,-0.840279434,-0.06883887,-0.097360054,-0.545149993,B
431,4,ÄÐ,32,-1.105464698,-0.526275113,-0.06883887,-0.39052871,0.493774875,B
513,4,Å®,33,1.076649282,0.10173353,-0.210576101,-0.438883488,-0.202299705,B
537,4,ÄÐ,53,1.829183725,-0.906385607,1.56113929,1.665926861,-0.449123998,B
539,4,ÄÐ,60,1.828004204,-0.013952273,0.639847286,0.416730089,0.335387582,B
544,6,ÄÐ,39,1.825645162,-0.361009681,0.214635592,0.428367535,0.59539909,B
574,4,ÄÐ,54,1.77964384,-0.465677788,0.923321749,0.310283077,-0.257267328,B
581,4,ÄÐ,46,1.764310067,-0.818244043,1.490270674,0.948205152,-0.28723715,B
590,4,ÄÐ,46,1.739540124,-0.741120174,0.427241439,-0.100685039,0.129273635,B
598,4,ÄÐ,48,1.717129224,-0.763155565,0.072898361,0.021389401,-0.517345344,B
601,4,ÄÐ,56,1.715949703,-0.245323878,0.285504208,0.366142821,-1.273209969,B
615,4,ÄÐ,59,1.71359066,-0.878841368,0.002029746,-0.032095353,-1.015443653,B
622,4,Å®,36,1.714770182,-0.377536224,0.427241439,0.771315963,0.328475466,B
628,4,ÄÐ,42,1.698256887,-0.074549598,-0.494050564,-0.544618003,0.865962086,B
632,4,ÄÐ,60,1.680564071,-0.146164619,0.285504208,0.551914469,-0.280830506,B
634,4,Å®,43,1.693538802,-0.002934578,-0.494050564,-0.557015447,-0.43802283,B
645,4,Å®,51,1.687641197,-0.669505154,-0.139707486,0.384857735,0.282657057,B
653,4,ÄÐ,36,1.660512212,-0.884350216,2.340694062,2.711302067,0.216991819,B
660,4,ÄÐ,42,1.649896523,-0.928420998,0.498110055,0.604306729,-0.857246179,B
661,4,ÄÐ,51,1.648717002,0.421246698,0.143766977,0.322110522,0.282146364,B
666,4,ÄÐ,45,1.660512212,-0.900876759,1.277664827,1.466665274,-0.188462455,B
670,4,Å®,45,1.681743592,-0.267359269,0.214635592,0.373077789,-0.129393974,B
687,4,ÄÐ,40,1.62512658,-0.708067088,1.632007906,2.438558318,-0.47035866,B
702,4,ÄÐ,36,1.638101312,-0.498730874,0.002029746,0.116388966,-0.357350467,B
719,4,ÄÐ,51,1.597997596,-0.757646718,1.135927596,0.973475036,0.056168168,B
730,4,Å®,36,1.60271568,-0.939438693,3.616329144,2.838791483,-0.103198478,B
734,4,ÄÐ,54,1.587381906,0.046645052,-0.139707486,0.052501759,-1.020232639,B
735,4,ÄÐ,44,1.586202385,-0.774173261,1.632007906,1.975055443,-0.306035574,B
736,4,ÄÐ,51,1.59209999,-0.542801656,0.143766977,-0.185329651,-0.021055503,B
739,4,ÄÐ,42,1.596818074,-0.041496512,0.002029746,0.661638966,1.330988603,B
740,4,ÄÐ,59,1.59209999,-0.92291215,-0.281444717,-0.11996995,1.607497477,B
744,5,ÄÐ,35,1.579125258,-0.889859063,4.041540838,3.434581251,-0.124599226,B
764,4,ÄÐ,46,1.567330048,0.525914805,-0.494050564,-0.444108464,-0.594275881,B
768,4,ÄÐ,52,1.54727819,-0.129638075,-0.06883887,0.103136527,0.237472494,B
787,4,ÄÐ,40,1.542560105,-0.399571615,0.781584518,0.794020859,0.236728451,B
788,4,ÄÐ,46,1.543739626,-0.267359269,0.214635592,0.001534492,-0.30969109,B
801,4,ÄÐ,44,1.542560105,0.140295464,-0.494050564,-0.402023657,-0.435767478,B
805,4,ÄÐ,45,1.541380584,-0.829261738,0.498110055,0.215901009,-0.54258763,B
808,5,ÄÐ,36,1.52604681,-0.856805977,1.277664827,1.026817291,1.379673612,B
812,5,ÄÐ,48,1.5366625,-0.944947541,3.332854682,4.133920544,-0.002594984,B
816,4,ÄÐ,44,1.522508247,0.200892789,-0.494050564,-0.664887452,0.526010296,B
823,4,ÄÐ,43,1.496558783,-0.421607006,-0.281444717,-0.121014946,1.510074536,B
829,4,Å®,36,1.501276868,-0.680522849,0.568978671,0.440622479,-0.584162577,B
837,4,ÄÐ,67,1.507174473,-0.889859063,0.285504208,0.401340159,1.442573633,B
841,4,ÄÐ,48,1.509533515,-0.834770586,0.710715902,0.374407783,0.995937436,B
848,4,ÄÐ,42,1.464711715,-0.939438693,0.568978671,0.598511755,-1.281527953,B
867,4,ÄÐ,34,1.44819842,-0.933929845,0.285504208,-0.118972455,0.457249296,B
877,4,ÄÐ,43,1.485943094,-0.344483137,0.710715902,0.961220092,-0.058783253,B
