,MEMBER_NO,FFP_days,FFP_TIER,DAYS_FROM_LAST_TO_END,FLIGHT_COUNT,avg_discount,SEG_KM_SUM,P1Y_Flight_Count,L1Y_Flight_Count,runoff_flag
0,1,2923,4,198,3,0.658302611,18770,0,3,1
1,2,2923,4,114,24,0.615947217,35087,13,11,0
2,3,2916,4,84,9,0.522270571,20660,6,3,0
3,4,2791,4,30,12,0.511083611,23071,8,4,0
4,5,2245,4,95,3,0.954166379,2897,2,1,0
5,6,1293,4,47,3,0.6466666670000001,4608,1,2,0
6,7,1069,4,535,2,0.475,3390,2,0,1
7,8,754,4,124,8,1.350073748,11797,2,6,0
8,9,579,4,177,6,0.750306845,6355,0,6,1
9,10,3107,5,12,54,0.78806627,62170,24,30,0
10,11,1895,4,70,24,0.600083679,15894,18,6,0
11,12,1888,4,2,13,0.7172767329999999,19517,4,9,0
12,13,1888,4,139,10,0.55491329,12686,3,7,0
13,14,1874,4,448,13,1.328538937,10992,13,0,1
14,15,1803,4,308,3,0.666666667,4137,0,3,1
15,16,1755,4,10,19,0.6264589070000001,37415,8,11,0
16,17,1468,4,49,13,0.787628333,24156,4,9,0
17,18,1447,4,667,3,0.874278384,1559,3,0,1
18,19,1412,4,695,2,0.6,1870,2,0,1
19,20,1363,4,78,30,0.929410352,46621,7,23,0
20,21,1118,4,137,4,0.579833729,7999,2,2,0
21,22,2225,4,385,7,0.478391487,13298,7,0,1
22,23,873,4,80,6,0.700336231,12194,4,2,0
23,24,796,4,487,2,0.732385787,1970,2,0,1
24,25,2986,4,138,2,0.693618263,2913,0,2,1
25,26,1645,4,632,4,0.536856673,6684,4,0,1
26,27,1616,4,197,2,0.906797546,1630,1,1,0
27,28,1610,4,39,24,0.548859485,33064,18,6,0
28,29,1603,4,160,3,0.418540171,5850,0,3,1
29,30,1603,4,3,3,0.294764424,3969,0,3,0
30,31,1603,4,25,5,0.6939770940000001,6985,3,2,0
31,32,1596,4,56,7,0.624552929,7784,1,6,0
32,33,1590,4,204,4,0.545,5500,3,1,0
33,34,1590,4,118,3,0.60401367,5267,2,1,0
34,35,1583,4,9,46,0.645656462,66927,26,20,0
35,36,1583,4,7,6,0.80355209,5836,1,5,0
36,37,1576,4,102,9,0.708224958,15025,5,4,0
37,38,1576,4,12,22,0.6990275359999999,38531,13,9,0
38,39,1561,4,150,8,0.562225133,24812,4,4,0
39,41,1555,4,22,20,0.7625105790000001,22214,13,7,0
40,42,1555,4,395,2,0.8,3308,2,0,1
41,43,1555,4,52,2,0.695,1312,0,2,0
42,44,2692,5,3,83,0.8329750690000001,95665,52,31,0
43,45,1548,4,50,3,0.793333333,4137,1,2,0
44,46,1541,4,9,21,0.6236300770000001,31812,6,15,0
45,47,1541,4,207,2,0.7118095240000001,3255,0,2,1
46,48,1541,4,57,2,0.73,3120,0,2,0
47,49,1534,4,143,9,0.681691695,11054,1,8,0
48,50,1534,4,23,14,0.563540197,27925,3,11,0
49,51,1534,4,252,7,0.678080318,8043,6,1,1
50,52,1513,4,240,3,0.763042071,2472,1,2,0
51,53,1499,4,70,2,0.53,2823,0,2,1
52,54,1499,6,8,83,0.8017396990000001,134621,39,44,0
53,55,1499,4,78,14,0.790720522,18098,10,4,0
54,56,1485,4,13,6,0.972027759,5908,2,4,0
55,57,1470,4,134,19,1.064033032,22100,9,10,0
56,58,1470,4,38,7,0.757529085,7564,6,1,0
57,59,1457,4,202,12,0.811886489,21108,6,6,1
58,60,1408,4,415,3,0.768398475,3147,3,0,1
59,61,1394,4,2,29,0.677107754,37929,16,13,0
60,62,1394,4,25,45,0.6787525590000001,80124,31,14,0
61,63,1380,4,202,3,0.881076822,4569,2,1,0
62,64,1373,4,261,3,0.973333333,1737,2,1,0
63,65,1359,4,180,6,0.440390653,8345,1,5,0
64,66,1352,4,89,5,0.66664579,5748,0,5,1
65,67,1345,4,171,6,0.699826257,10763,1,5,1
66,68,1345,4,121,5,0.6353632579999999,6483,1,4,0
67,69,1345,4,331,2,0.55,5586,0,2,1
68,70,1338,4,25,27,0.7968027209999999,25431,16,11,0
69,71,1332,5,3,84,0.8483582390000001,79768,48,36,0
70,72,1325,4,10,3,0.623571429,3262,0,3,0
71,73,1325,4,511,2,0.75,3934,2,0,1
72,74,1317,4,271,5,0.50683577,8141,3,2,1
73,75,1317,4,9,4,0.905176563,3823,0,4,0
74,76,1286,4,15,13,0.513634529,20806,5,8,0
75,77,1269,4,4,8,0.63547748,6461,0,8,0
76,78,1421,4,128,14,0.381284601,104188,13,1,0
77,79,1250,5,69,27,0.7485764140000001,49003,11,16,0
78,80,1250,4,17,6,0.487731683,13089,0,6,0
79,81,1250,4,143,3,0.276097272,4215,1,2,0
80,82,1251,4,65,19,0.667777669,30666,9,10,0
81,83,1250,4,543,2,0.7,5942,2,0,1
82,84,1247,4,191,15,0.6888348809999999,27465,6,9,1
83,85,1233,4,7,36,0.7292962620000001,44761,20,16,0
84,86,1247,4,139,3,0.648215411,3491,0,3,1
85,87,1247,4,249,9,0.7562056909999999,12582,7,2,1
86,88,1230,4,347,3,0.933333333,1140,1,2,1
87,89,1231,4,77,4,0.618445975,4646,1,3,0
88,90,1223,4,23,13,0.70866631,13069,6,7,0
89,91,1223,4,284,4,0.913840719,3114,1,3,0
90,92,1223,4,17,2,0.77,1074,0,2,0
91,93,1229,4,243,3,0.703878355,8122,0,3,1
92,94,1223,4,15,7,0.7103906590000001,9292,0,7,0
93,95,1231,4,83,6,0.727455245,8323,2,4,0
94,96,1223,4,268,4,0.346687385,7079,2,2,0
95,97,1229,4,27,7,0.664544111,6767,3,4,0
96,98,1229,4,99,2,0.79004632,1943,0,2,0
97,99,1229,4,54,13,0.6983461959999999,20214,11,2,0
98,100,1231,5,23,64,0.6863847059999999,113219,39,25,0
99,101,1231,4,6,11,0.5212591839999999,15653,6,5,0
100,102,1231,4,467,3,0.6774468090000001,3760,3,0,1
