,MEMBER_NO,L,R,F,M,C,K,runoff_flag
0,1,2923,198,3,18770,0.658302611,1.0,1
1,2,2923,114,24,35087,0.615947217,1.0,0
2,3,2916,84,9,20660,0.522270571,0.0,0
3,4,2791,30,12,23071,0.511083611,0.0,0
4,5,2245,95,3,2897,0.954166379,0.0,0
5,6,1293,47,3,4608,0.6466666670000001,1.0,0
6,7,1069,535,2,3390,0.475,0.0,1
7,8,754,124,8,11797,1.350073748,1.0,0
8,9,579,177,6,6355,0.750306845,1.0,1
9,10,3107,12,54,62170,0.78806627,1.0,0
10,11,1895,70,24,15894,0.600083679,0.0,0
11,12,1888,2,13,19517,0.7172767329999999,1.0,0
12,13,1888,139,10,12686,0.55491329,1.0,0
13,14,1874,448,13,10992,1.328538937,0.0,1
14,15,1803,308,3,4137,0.666666667,1.0,1
15,16,1755,10,19,37415,0.6264589070000001,1.0,0
16,17,1468,49,13,24156,0.787628333,1.0,0
17,18,1447,667,3,1559,0.874278384,0.0,1
18,19,1412,695,2,1870,0.6,0.0,1
19,20,1363,78,30,46621,0.929410352,1.0,0
20,21,1118,137,4,7999,0.579833729,1.0,0
21,22,2225,385,7,13298,0.478391487,0.0,1
22,23,873,80,6,12194,0.700336231,0.0,0
23,24,796,487,2,1970,0.732385787,0.0,1
24,25,2986,138,2,2913,0.693618263,1.0,1
25,26,1645,632,4,6684,0.536856673,0.0,1
26,27,1616,197,2,1630,0.906797546,1.0,0
27,28,1610,39,24,33064,0.548859485,0.0,0
28,29,1603,160,3,5850,0.418540171,1.0,1
29,30,1603,3,3,3969,0.29476442399999997,1.0,0
30,31,1603,25,5,6985,0.6939770940000001,1.0,0
31,32,1596,56,7,7784,0.624552929,1.0,0
32,33,1590,204,4,5500,0.545,0.0,0
33,34,1590,118,3,5267,0.60401367,0.0,0
34,35,1583,9,46,66927,0.645656462,1.0,0
35,36,1583,7,6,5836,0.80355209,1.0,0
36,37,1576,102,9,15025,0.708224958,1.0,0
37,38,1576,12,22,38531,0.6990275359999999,1.0,0
38,39,1561,150,8,24812,0.562225133,1.0,0
39,41,1555,22,20,22214,0.7625105790000001,1.0,0
40,42,1555,395,2,3308,0.8,0.0,1
41,43,1555,52,2,1312,0.695,1.0,0
42,44,2692,3,83,95665,0.8329750690000001,1.0,0
43,45,1548,50,3,4137,0.793333333,1.0,0
44,46,1541,9,21,31812,0.6236300770000001,1.0,0
45,47,1541,207,2,3255,0.7118095240000001,1.0,1
46,48,1541,57,2,3120,0.73,1.0,0
47,49,1534,143,9,11054,0.681691695,1.0,0
48,50,1534,23,14,27925,0.563540197,1.0,0
49,51,1534,252,7,8043,0.678080318,0.0,1
50,52,1513,240,3,2472,0.763042071,1.0,0
51,53,1499,70,2,2823,0.53,1.0,1
52,54,1499,8,83,134621,0.8017396990000001,1.0,0
53,55,1499,78,14,18098,0.790720522,0.0,0
54,56,1485,13,6,5908,0.972027759,1.0,0
55,57,1470,134,19,22100,1.064033032,1.0,0
56,58,1470,38,7,7564,0.757529085,0.0,0
57,59,1457,202,12,21108,0.811886489,1.0,1
58,60,1408,415,3,3147,0.768398475,0.0,1
59,61,1394,2,29,37929,0.677107754,1.0,0
60,62,1394,25,45,80124,0.6787525590000001,0.0,0
61,63,1380,202,3,4569,0.881076822,0.0,0
62,64,1373,261,3,1737,0.973333333,0.0,0
63,65,1359,180,6,8345,0.44039065299999997,1.0,0
64,66,1352,89,5,5748,0.66664579,1.0,1
65,67,1345,171,6,10763,0.699826257,1.0,1
66,68,1345,121,5,6483,0.6353632579999999,1.0,0
67,69,1345,331,2,5586,0.55,1.0,1
68,70,1338,25,27,25431,0.7968027209999999,1.0,0
69,71,1332,3,84,79768,0.8483582390000001,1.0,0
70,72,1325,10,3,3262,0.623571429,1.0,0
71,73,1325,511,2,3934,0.75,0.0,1
72,74,1317,271,5,8141,0.50683577,1.0,1
73,75,1317,9,4,3823,0.9051765629999999,1.0,0
74,76,1286,15,13,20806,0.513634529,1.0,0
75,77,1269,4,8,6461,0.63547748,1.0,0
76,78,1421,128,14,104188,0.381284601,0.0,0
77,79,1250,69,27,49003,0.7485764140000001,1.0,0
78,80,1250,17,6,13089,0.48773168299999997,1.0,0
79,81,1250,143,3,4215,0.276097272,1.0,0
80,82,1251,65,19,30666,0.667777669,1.0,0
81,83,1250,543,2,5942,0.7,0.0,1
82,84,1247,191,15,27465,0.6888348809999999,1.0,1
83,85,1233,7,36,44761,0.7292962620000001,1.0,0
84,86,1247,139,3,3491,0.648215411,1.0,1
85,87,1247,249,9,12582,0.7562056909999999,0.0,1
86,88,1230,347,3,1140,0.933333333,1.0,1
87,89,1231,77,4,4646,0.618445975,1.0,0
88,90,1223,23,13,13069,0.70866631,1.0,0
89,91,1223,284,4,3114,0.9138407190000001,1.0,0
90,92,1223,17,2,1074,0.77,1.0,0
91,93,1229,243,3,8122,0.703878355,1.0,1
92,94,1223,15,7,9292,0.7103906590000001,1.0,0
93,95,1231,83,6,8323,0.727455245,1.0,0
94,96,1223,268,4,7079,0.346687385,1.0,0
95,97,1229,27,7,6767,0.664544111,1.0,0
96,98,1229,99,2,1943,0.79004632,1.0,0
97,99,1229,54,13,20214,0.6983461959999999,0.0,0
98,100,1231,23,64,113219,0.6863847059999999,1.0,0
99,101,1231,6,11,15653,0.5212591839999999,1.0,0
100,102,1231,467,3,3760,0.6774468090000001,0.0,1
101,103,1231,522,3,4394,0.577378243,0.0,1
102,104,1229,317,2,3934,0.8,1.0,1
103,105,1229,193,2,1737,0.564818653,1.0,1
104,106,1229,156,5,5112,0.48543622799999997,1.0,0
105,107,1223,304,4,4861,0.603602139,1.0,1
106,108,1229,79,2,4047,0.7429058559999999,1.0,0
107,109,1231,550,2,2254,0.551242236,0.0,1
108,110,1223,25,11,12975,0.575136031,1.0,0
109,111,1219,2,10,7717,0.7213049109999999,1.0,0
110,112,1223,225,8,12811,0.791664195,0.0,0
111,113,1198,66,6,11802,0.803333333,1.0,0
112,114,1223,53,4,6306,0.84596099,1.0,0
113,115,1986,27,78,61691,0.824487527,1.0,0
114,116,1198,18,3,2782,0.557232207,1.0,0
115,117,1165,2,5,9890,0.4455510620000001,1.0,0
116,118,1223,290,2,3367,0.873566974,1.0,1
117,119,1223,4,6,11086,1.178769619,1.0,0
118,120,1219,614,3,3068,0.872099087,0.0,1
119,121,1219,66,9,13518,0.524485871,1.0,0
120,122,1219,2,3,1780,1.0069213479999999,1.0,0
121,123,1198,8,13,17485,1.222514155,1.0,0
122,124,1198,180,3,3746,0.8647811,1.0,1
123,126,1219,163,6,7117,0.85617395,1.0,0
124,127,1219,559,3,2730,0.7,0.0,1
125,128,1219,50,2,4154,0.72,1.0,1
126,129,1219,715,2,4880,0.275,0.0,1
127,130,1603,67,12,15251,0.520182283,1.0,0
128,131,1596,69,2,3934,0.605,1.0,1
129,132,1332,347,2,1647,0.663934426,1.0,1
130,133,1254,146,4,5588,0.689282391,1.0,1
131,134,841,403,2,2780,0.875,0.0,1
132,135,1212,159,11,19120,0.419340481,1.0,0
133,136,1219,116,2,1577,0.68686747,1.0,0
134,137,1212,368,5,3450,1.0,0.0,1
135,138,1212,57,2,2805,0.697411765,1.0,0
136,139,1212,49,2,1746,0.875,1.0,1
137,140,1205,164,3,1877,0.7742035159999999,0.0,0
138,141,1319,93,9,20952,0.7331782170000001,1.0,0
139,142,1198,5,24,56650,0.703508738,1.0,0
140,143,1205,12,3,4926,0.60316078,1.0,0
141,144,1212,244,2,3521,0.5659074129999999,1.0,1
142,145,1260,1,96,81229,0.6964122420000001,1.0,0
143,146,1198,589,5,7493,0.81516749,0.0,1
144,147,1205,70,2,4175,0.7242706590000001,1.0,0
145,148,1205,184,5,6289,0.578678645,1.0,0
146,149,1205,18,13,16443,0.637958402,1.0,0
147,150,1198,144,5,8610,0.677541231,1.0,0
148,151,1198,579,7,4549,0.720488019,0.0,1
149,152,1198,178,2,3557,0.55,1.0,1
150,153,1189,472,2,3124,0.627160691,0.0,1
151,154,1189,26,2,1604,0.63,1.0,1
152,155,1189,23,3,1947,0.533333333,1.0,0
153,156,1174,89,27,106399,0.8167115290000001,0.0,1
154,157,1183,238,9,10367,0.7343098290000001,0.0,1
155,158,1183,393,2,2977,0.45,0.0,1
156,159,1183,49,3,5122,0.854638813,1.0,0
157,160,1183,47,9,6282,0.50629099,1.0,0
158,161,1183,72,4,6111,0.7301325479999999,1.0,0
159,162,1183,2,11,35090,0.7189638070000001,0.0,0
160,163,1183,493,2,2319,0.660715826,0.0,1
161,164,923,43,5,5667,0.577081348,1.0,0
162,165,1183,1,2,2020,0.38,1.0,0
163,166,1174,6,13,18192,0.42932113,1.0,0
164,167,1174,17,10,12376,0.627426471,1.0,0
165,168,1174,209,2,1529,0.528613473,1.0,1
166,169,1183,7,20,26393,0.578275679,1.0,0
167,170,1174,15,15,20264,0.69725079,1.0,0
168,171,1174,174,2,1215,0.8257119340000001,1.0,0
169,172,1173,15,3,2070,0.783333333,1.0,0
170,173,1174,677,2,16254,0.55,0.0,1
171,174,1174,4,4,7977,0.334449041,1.0,0
172,175,1173,76,5,7017,0.703964657,1.0,0
173,176,1173,504,4,8130,1.37097171,0.0,1
174,177,1163,22,9,20934,0.8771835290000001,1.0,0
175,178,1173,34,3,5180,0.931988417,0.0,0
176,179,2546,67,8,8352,0.778967912,1.0,0
177,180,1174,304,16,26293,0.703977865,0.0,1
178,181,1174,71,9,16493,0.660147335,1.0,0
179,182,1174,1,11,9993,0.54395777,1.0,0
180,183,1174,8,25,40982,0.643937338,1.0,0
181,184,920,314,3,4744,0.278878583,1.0,1
182,185,2550,156,5,11489,0.41787797,1.0,0
183,186,1183,149,8,10292,0.47813155799999996,0.0,0
184,187,914,143,5,5863,0.703433396,1.0,0
185,188,920,101,9,16289,0.7979575170000001,1.0,1
186,189,914,165,9,14113,0.6747566070000001,1.0,0
187,190,1173,132,15,16906,0.644940258,1.0,0
188,191,1173,48,6,5584,0.8142550140000001,1.0,0
189,192,1173,7,21,25401,0.729940947,0.0,0
190,193,1173,56,38,35588,0.7233803529999999,0.0,0
191,194,1174,8,35,45358,0.7737514879999999,1.0,0
192,195,1173,45,3,3935,0.6434917410000001,0.0,0
193,196,1173,70,12,14878,0.65776314,1.0,0
194,197,1173,180,2,1914,0.14,1.0,1
195,198,1173,163,4,5248,0.602721037,1.0,0
