MEMBER_NO,FLIGHT_COUNT,BASE_POINTS_SUM,SEG_KM_SUM,AVG_FLIGHT_INTERVAL,FFP_days,EXPENSE_SUM_YR_1,EXPENSE_SUM_YR_2,EXPENSE_SUM,runoff_flag,K
1,3,7035,18770,4,2923,0,7200,7200,1,1
2,24,16210,35087,24.34782609,2923,7981,6860,14841,0,0
3,9,7508,20660,80.125,2916,5793,2288,8081,0,0
4,12,8092,23071,52.09090909,2791,6970,3226,10196,0,0
5,3,2329,2897,300.5,2245,2480,380,2860,0,0
6,3,2390,4608,208.5,1293,584,2248,2832,0,1
7,2,560,3390,165,1069,1549,0,1549,1,0
8,8,14767,11797,78.71428571,754,2070,10767,12837,0,1
9,6,4711,6355,36.2,579,0,4401,4401,1,1
10,54,45135,62170,12.83018868,3107,17618,28121,45739,0,1
11,24,7225,15894,28.73913043,1895,6180,2998,9178,0,0
12,13,13452,19517,54.83333333,1888,2987,7185,10172,0,1
13,10,4551,12686,63.88888889,1888,566,2271,2837,0,1
14,13,13725,10992,23.08333333,1874,13671,0,13671,1,0
15,3,1497,4137,10.5,1803,0,2280,2280,1,1
16,19,23642,37415,39,1755,7488,12035,19523,0,1
17,13,16900,24156,36.33333333,1468,5931,9894,15825,0,1
18,3,1215,1559,20.5,1447,1526,0,1526,1,0
19,2,690,1870,14,1412,1128,0,1128,1,0
20,30,47734,46621,19.31034483,1363,28728,18066,46794,0,1
21,4,3090,7999,125.3333333,1118,1870,2230,4100,0,1
22,7,4783,13298,39.16666667,2225,5830,0,5830,1,0
23,6,7167,12194,129.8,873,4982,2000,6982,0,0
24,2,1443,1970,76,796,1453,0,1453,1,0
25,2,1098,2913,124,2986,0,1008,1008,1,1
26,4,2042,6684,28.66666667,1645,3223,0,3223,1,0
27,2,1096,1630,413,1616,1065,0,1065,0,1
28,24,13955,33064,28.60869565,1610,9676,4039,13715,0,0
29,3,1544,5850,11,1603,0,2310,2310,1,1
30,3,0,3969,61,1603,0,1112,1112,0,1
31,5,3663,6985,120.75,1603,2128,2434,4562,0,0
32,7,3289,7784,59.66666667,1596,730,4177,4907,0,1
33,4,2064,5500,148,1590,2160,783,2943,0,0
34,3,1889,5267,223.5,1590,2272,539,2811,0,0
35,46,35747,66927,15.4,1583,22272,16039,38311,0,0
36,6,4322,5836,139,1583,1750,2553,4303,0,1
37,9,8529,15025,57.75,1576,4434,4256,8690,0,0
38,22,22319,38531,33.85714286,1576,14570,9885,24455,0,0
39,8,10292,24812,78.42857143,1561,6040,1853,7893,0,1
41,20,12585,22214,36.10526316,1555,10996,6209,17205,0,0
42,2,2161,3308,17,1555,2544,0,2544,1,0
43,2,454,1312,57,1555,0,987,987,0,1
44,83,71448,95665,8.87804878,2692,43283,26521,69804,0,0
45,3,2995,4137,180,1548,684,2029,2713,0,1
46,21,14848,31812,25.85,1541,3658,13166,16824,0,1
47,2,1967,3255,77,1541,0,2004,2004,1,1
48,2,1951,3120,125,1541,0,1825,1825,0,1
49,9,5228,11054,47.875,1534,1435,5971,7406,0,1
50,14,14404,27925,43.53846154,1534,2045,11612,13657,0,1
51,7,5429,8043,68.5,1534,5029,383,5412,1,0
52,3,1877,2472,122,1513,660,1425,2085,0,1
53,2,1063,2823,62,1499,0,424,424,1,1
54,83,104436,134621,8.780487805,1499,47411,48809,96220,0,1
55,14,14194,18098,43.46153846,1499,8077,4250,12327,0,0
56,6,5339,5908,110,1485,2940,2876,5816,0,1
57,19,22747,22100,32.44444444,1470,6708,9810,16518,0,1
58,7,4995,7564,100.6666667,1470,5169,600,5769,0,0
59,12,15776,21108,46.45454545,1457,8840,6469,15309,1,1
60,3,1436,3147,74,1408,2494,0,2494,1,0
61,29,19918,37929,25.25,1394,14213,10237,24450,0,0
62,45,46880,80124,15.81818182,1394,35419,12328,47747,0,0
63,3,3453,4569,258.5,1380,896,1647,2543,0,0
64,3,1500,1737,179.5,1373,1420,653,2073,0,0
65,6,2088,8345,99.6,1359,635,2876,3511,0,1
66,5,3042,5748,31,1352,0,3787,3787,1,1
67,6,5686,10763,39.6,1345,0,6568,6568,1,1
68,5,2676,6483,94.25,1345,810,2837,3647,0,1
69,2,1942,5586,4,1345,0,1600,1600,1,1
70,27,21720,25431,24.73076923,1338,14571,8519,23090,0,0
71,84,60940,79768,8.469879518,1332,33665,31454,65119,0,0
72,3,2108,3262,7.5,1325,0,1914,1914,0,1
73,2,2671,3934,38,1325,2550,0,2550,1,0
74,5,3700,8141,104.25,1317,1785,1988,3773,1,0
75,4,2746,3823,91.33333333,1317,0,3132,3132,0,1
76,13,7606,20806,59.08333333,1286,2866,5485,8351,0,1
77,8,3300,6461,40.71428571,1269,0,4416,4416,0,1
78,14,28045,104188,44.15384615,1421,9830,2100,11930,0,0
79,27,33676,49003,25.42307692,1250,14885,17349,32234,0,1
80,6,4405,13089,45.2,1250,0,3696,3696,0,1
81,3,0,4215,210,1250,353,783,1136,0,1
82,19,15587,30666,34.94444444,1251,10189,8127,18316,0,1
83,2,3571,5942,6,1250,3416,0,3416,1,0
84,15,16519,27465,37.71428571,1247,5463,11127,16590,1,1
85,36,29003,44761,20.11428571,1233,16717,13774,30491,0,0
86,3,1672,3491,2.5,1247,0,2448,2448,1,1
87,9,8361,12582,50.375,1247,0,2657,2657,1,0
88,3,1500,1140,68,1230,660,1188,1848,1,1
89,4,2477,4646,121.6666667,1231,578,2304,2882,0,1
90,13,8669,13069,57.33333333,1223,5453,4651,10104,0,1
91,4,3061,3114,139,1223,1830,1919,3749,0,1
92,2,1000,1074,179,1223,0,1216,1216,0,1
93,3,5153,8122,2.5,1229,0,3976,3976,1,1
94,7,6127,9292,35.5,1223,0,6656,6656,0,1
95,6,4901,8323,75.2,1231,2214,2872,5086,0,1
96,4,1526,7079,99,1223,1360,792,2152,0,1
97,7,3298,6767,79,1229,2159,1703,3862,0,1
98,2,1241,1943,134,1229,0,1526,1526,0,1
99,13,10945,20214,54.83333333,1229,11846,1051,12897,0,0
100,64,66106,113219,11.17460317,1231,41568,25794,67362,0,0
101,11,6218,15653,66.7,1231,3473,4182,7655,0,0
102,3,1551,3760,41,1231,2440,0,2440,1,0
103,3,1582,4394,8,1231,2495,0,2495,1,0
104,2,2671,3934,283,1229,1020,1700,2720,1,1
105,2,443,1737,8,1229,0,1040,1040,1,1
106,5,1750,5112,107.5,1229,1186,533,1719,0,1
107,4,2014,4861,100.3333333,1223,840,1041,1881,1,1
108,2,2705,4047,97,1229,0,2654,2654,0,1
109,2,844,2254,24,1231,1155,0,1155,1,0
110,11,5463,12975,49.7,1223,788,6339,7127,0,1
111,10,4281,7717,30.22222222,1219,0,5900,5900,0,1
112,8,9222,12811,69.71428571,1223,5887,1402,7289,0,0
113,6,10303,11802,24.2,1198,0,8194,8194,0,1
114,4,4280,6306,67.33333333,1223,0,5204,5204,0,1
115,78,51073,61691,9.064935065,1986,20023,25090,45113,0,1
116,3,1398,2782,140,1198,0,1485,1485,0,1
117,5,2799,9890,30.5,1165,0,3959,3959,0,1
118,2,2394,3367,68,1223,0,2608,2608,1,1
119,6,12211,11086,49.8,1223,0,11272,11272,0,1
120,3,2896,3068,43.5,1219,2836,0,2836,1,0
121,9,4315,13518,71.125,1219,3515,3229,6744,0,1
122,3,1920,1780,242.5,1219,730,1659,2389,0,1
123,13,19105,17485,44,1198,7405,13620,21025,0,1
124,3,3335,3746,62,1198,0,2737,2737,1,1
126,6,6624,7117,109.2,1219,3980,1879,5859,0,1
127,3,1848,2730,72,1219,1974,0,1974,1,0
128,2,2753,4154,7,1219,0,2521,2521,1,1
129,2,746,4880,3,1219,1172,0,1172,1,0
130,12,6608,15251,55.27272727,1603,2588,4859,7447,0,1
131,2,1908,3934,66,1596,0,2057,2057,1,1
132,2,1079,1647,306,1332,688,400,1088,1,1
133,4,3366,5588,66.33333333,1254,0,3509,3509,1,1
134,2,1730,2780,6,841,2275,0,2275,1,0
135,11,4350,19120,50.1,1212,4281,2436,6717,0,0
136,2,1073,1577,144,1219,0,1016,1016,0,1
137,5,3230,3450,68.5,1212,3450,0,3450,1,0
138,2,1736,2805,346,1212,0,742,742,0,1
139,2,1646,1746,10,1212,0,1627,1627,1,1
140,3,1420,1877,223.5,1205,1093,539,1632,0,0
141,9,12162,20952,58.875,1319,5258,8598,13856,0,1
142,24,31491,56650,22.2173913,1198,9028,25051,34079,0,1
143,3,3023,4926,21.5,1205,0,2707,2707,0,1
144,2,1253,3521,4,1212,0,1907,1907,1,1
145,96,48787,81229,7.115789474,1260,22120,37987,60107,0,1
146,5,4627,7493,33.25,1198,5446,0,5446,1,0
147,2,2768,4175,190,1205,0,2648,2648,0,1
148,5,2717,6289,136,1205,2083,1326,3409,0,0
149,13,7942,16443,58,1205,4992,5305,10297,0,1
150,5,5552,8610,98.5,1198,780,3808,4588,0,1
151,7,2391,4549,21,1198,3684,0,3684,1,0
152,2,1199,3557,5,1198,0,2050,2050,1,1
153,2,1516,3124,112,1189,1633,0,1633,1,0
154,2,542,1604,2,1189,0,996,996,1,1
155,3,854,1947,55,1189,0,1120,1120,0,1
156,27,85428,106399,23.88461538,1174,41202,16860,58062,1,0
157,9,5918,10367,33.875,1183,4200,1613,5813,1,0
158,2,1176,2977,0,1183,1197,0,1197,1,0
159,3,3643,5122,132,1183,0,3917,3917,0,1
160,9,3308,6282,81.625,1183,1331,2439,3770,0,1
161,4,4792,6111,179.6666667,1183,700,3186,3886,0,1
162,11,23407,35090,68.3,1183,8941,8155,17096,0,0
163,2,1263,2319,0,1183,1510,0,1510,1,0
164,5,2684,5667,169.5,923,2345,1169,3514,0,0
165,2,0,2020,2,1183,0,730,730,0,1
166,13,3238,18192,48.25,1174,4466,2322,6788,0,0
167,10,6409,12376,70.44444444,1174,2368,5495,7863,0,1
168,2,556,1529,21,1174,0,868,868,1,1
169,20,12441,26393,38.05263158,1183,10170,4212,14382,0,0
170,15,11450,20264,21.71428571,1174,0,13550,13550,0,1
171,2,1063,1215,394,1174,324,773,1097,0,1
172,3,1550,2070,272.5,1173,690,931,1621,0,1
173,2,6296,16254,21,1174,4700,0,4700,1,0
174,4,2409,7977,88.33333333,1174,0,2292,2292,0,1
175,5,4453,7017,89,1173,2011,1607,3618,0,1
176,4,10731,8130,5.666666667,1173,9950,0,9950,1,0
177,9,19259,20934,20.125,1163,0,15916,15916,0,1
178,3,4533,5180,344.5,1173,2140,2010,4150,0,0
179,8,5938,8352,81,2546,4528,2169,6697,0,0
180,16,16290,26293,28.13333333,1174,12683,3757,16440,1,0
181,9,8551,16493,68,1174,4985,3770,8755,0,0
182,11,3822,9993,35.9,1174,0,5887,5887,0,1
183,25,20793,40982,29.54166667,1174,8429,12979,21408,0,1
184,3,200,4744,70,920,350,970,1320,1,1
185,5,2644,11489,88.25,2550,2080,2130,4210,0,1
186,8,2942,10292,58.28571429,1183,3031,1527,4558,0,0
187,5,3223,5863,111.25,914,2125,1970,4095,0,1
188,9,10564,16289,26.25,920,0,11317,11317,1,1
189,9,7424,14113,60.75,914,3579,5187,8766,0,1
190,15,8225,16906,37.57142857,1173,5422,4737,10159,0,1
191,6,3640,5584,113.8,1173,1761,2256,4017,0,1
192,21,16563,25401,36.2,1173,10293,6207,16500,0,0
193,38,22393,35588,18.13513514,1173,16499,8119,24618,0,0
194,35,33962,45358,19.79411765,1174,15677,16627,32304,0,1
195,3,2156,3935,254.5,1173,1024,550,1574,0,0
196,12,8156,14878,49.45454545,1173,5478,4246,9724,0,1
197,2,0,1914,8,1173,0,269,269,1,1
198,4,2015,5248,82.66666667,1173,1260,1809,3069,0,1
199,2,2630,3106,11,1173,0,2607,2607,1,1
200,3,988,3527,256.5,1173,1040,224,1264,0,0
201,5,3190,5350,117.5,1174,2210,1440,3650,0,0
202,16,6576,16277,37.13333333,1174,2942,6864,9806,0,1
203,11,4008,13671,36.3,1174,338,4409,4747,0,1
204,14,9558,13046,33.92307692,1174,3700,5540,9240,0,1
205,3,2183,3153,36.5,1174,1406,0,1406,1,0
206,2,1526,3934,3,1174,1785,0,1785,1,0
207,2,1227,2373,304,1173,621,877,1498,0,1
208,21,23229,27875,33.55,1174,12788,8200,20988,0,0
209,2,596,1648,162,1174,886,0,886,1,0
210,7,3659,10884,71.66666667,1174,3785,1196,4981,0,0
211,5,1748,5263,27,1174,3044,0,3044,1,0
212,7,3680,10684,82.83333333,1174,594,4641,5235,0,1
213,5,3042,6525,74,1173,1287,2757,4044,1,1
214,5,1944,5022,43.75,1173,1637,1254,2891,1,0
215,2,0,3934,3,1174,0,1122,1122,1,1
216,4,5669,6145,39.33333333,1174,4280,1567,5847,1,1
217,9,3870,8141,43.375,1173,1480,3396,4876,1,1
218,11,5043,14259,41.6,1173,6566,1062,7628,1,0
219,4,1736,5144,48.66666667,1173,0,2848,2848,0,1
220,4,4303,5681,155,1173,1080,2999,4079,0,1
221,11,24998,17341,45.1,1163,3600,18799,22399,0,1
222,5,3634,6104,113,1163,552,1270,1822,0,0
223,4,968,5430,121.3333333,1163,0,1158,1158,0,1
224,5,7161,9820,52.75,1155,3060,3255,6315,1,1
225,2,500,2543,2,1155,0,1294,1294,1,1
226,2,1314,3667,79,1155,1620,0,1620,1,0
227,10,5668,16064,65,1152,5556,350,5906,0,0
228,2,0,1186,4,1152,0,540,540,1,1
229,46,35274,44119,15.86666667,1155,18690,15310,34000,0,1
230,5,6712,10411,37.5,1155,0,6751,6751,0,1
231,2,1256,1294,5,1155,0,1067,1067,1,1
232,3,1338,2096,38.5,1148,0,1565,1565,1,1
233,2,869,2262,5,1128,1176,0,1176,1,0
234,2,1292,1380,3,1128,1380,0,1380,1,0
235,5,4159,7861,43.75,1128,0,4797,4797,0,1
236,5,4424,8563,78.75,1135,850,3600,4450,0,1
237,3,1114,3588,52,1121,0,1944,1944,1,1
238,4,303,3874,89.66666667,1099,474,910,1384,1,1
239,7,4170,14457,73.83333333,1096,1649,4553,6202,0,1
240,8,15497,18565,46.28571429,1070,10205,1410,11615,1,0
241,2,2834,3823,173,1086,0,2592,2592,0,1
242,39,24963,60505,18.71052632,1058,6913,26505,33418,0,1
243,2,1823,4618,21,1114,2180,0,2180,1,0
244,2,515,1134,562,1070,660,251,911,0,1
245,5,3300,9755,7.25,1058,4196,0,4196,1,0
246,23,12235,18860,32.86363636,1058,5920,8974,14894,0,1
247,8,4894,10073,64.85714286,2455,5753,621,6374,0,0
248,2,2174,2253,2,1047,0,1900,1900,0,1
249,7,4492,5456,41.66666667,1043,4970,568,5538,1,0
250,2,1784,4006,321,1058,425,1540,1965,0,1
251,2,1363,2257,142,1058,0,1336,1336,1,1
252,7,4432,9156,49.5,1047,320,5915,6235,0,1
253,6,4062,6235,37,1013,4366,0,4366,1,0
254,2,2671,3934,4,1058,0,2397,2397,1,1
255,5,6113,8278,119.25,1022,0,3896,3896,0,1
256,5,1900,1900,55.5,1034,2541,0,2541,1,0
257,2,2554,2657,231,1022,0,2151,2151,0,1
258,9,5395,9657,70.375,1022,2528,3414,5942,0,1
